gender,windows,fraud_windows,PR_AUC,ROC_AUC,Best_F1,Best_thr
M,15655,4718,0.9130961914994058,0.9429706818693351,0.8248425190449503,0.0018856402020901442
F,14836,4429,0.9122528037252665,0.942767194120063,0.8186168890116725,0.001969696721062064
