urbanicity,windows,fraud_windows,PR_AUC,ROC_AUC,Best_F1,Best_thr
Rural,11789,3532,0.9233444175996983,0.9475135102773569,0.840017886769049,0.0017899018712341785
Urban,18702,5615,0.908976718296147,0.9413352493188777,0.815203381716452,0.0019704001024365425
