"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Ghana","GHA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.14706465642242","1.93445170691966","2.04726505813928","2.06691897101457","1.75060061637178","1.78813996205498","1.68765456155898","1.77319982485734","1.71743458952278","1.65652636352875","1.62099472513754","2.09468981730321","2.01196278014916","1.93640928203346","1.82951897503029","1.87009855981462","2.02943487003652","1.63198244300232","1.82667713193775","1.74047705817606","1.85431966533681","1.83111773115644","","",
"Ghana","GHA","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","2000","","","","680","",
"Ghana","GHA","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","","33.3333320617676","","43.2835807800293","","41.7910461425781","47.7611923217773","45.6730766296387","49.038459777832","53.8461532592773","56.25","55.288459777832","56.8720397949219","57.3459701538086","56.3380279541016","56.8075103759766","56.3380279541016","57.1428565979004","58.1280784606934","58.1280784606934","59.1133003234863","57.7669906616211","58.937198638916","57.0048294067383","56.038646697998","55.0724639892578","55.3921585083008","",
"Ghana","GHA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","1.84237461616911","1.83333333333324","1.21168923734877","0.694042799307207","1.10741887813455","0.39177277179236","0.347222222222222","0.439403292487987","3.44827586206897","4.08163265306122","5.09554140127389","3.01628795495677","2.7359781121751","3.68794326241135","4.58839406207827","5.5766793409379","6.23678646934461","4.91009681881051","7.94602698650675","7.94117647058823","7.92507204610951","8.79501385041551","9.61158657011192","66.4482919981282","67.0118995152049","68.3082654327259","68.1580941891724","66.4810690423162","67.6827724745021","68.1560568942192","77.2094610482395","69.300955498481","56.2583187628221","58.9368661759244","50.4618861775798","46.1078735645016","41.3440733380039","28.5739682381463","36.2596153074254","45.3524744807533","13.6163347418973","13.517674119626","13.1308838053257","12.4815530358776","14.4406117698283","1.44947574892408","6.21825706446744","10.0257306719618","11.979047217744","13.0678302820297",
"Ghana","GHA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","84956988.9990959","104348399.998757","122000559.165421","98039725.2679403","90300067.9999695","102100000","115200000","99309223.9999385","34800000","39200000","31400000","49730000","73100000","70500000","74100000","78900000","94600000","144600000","133400000","136000000","138800000","144400000","151900000","427400000","453800000","489738683.716786","515358600","538800000","612305000","683725000","1082889310","1242883296.20344","1614373796.12949","1558769733.79912","1522020000","1343610000","1678584000","3200185540.8352","2353384041.07462","1977405534.02101","6013083944.08956","6259804257.83051","6470090000","7563161389.34407","9869633395.90326","7588950700.39296","9122628642.05959","8281057283.15499","8735991109.9598","9266029431.56626",
"Ghana","GHA","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","293100000","305700000","297500000","265000000","285400000","258100000","214200000","260600000","301900000","304132000","384156000","314689000","369474000","550241000","642961000","690182000","709641000","872244000","770771000","781603000","970062000","955155000","735382000","619532000","355856000","406501000","754183605.025923","824972224.631396","749947347.569137","887838268.91255","1115784373.46986","611764000","1164829000","1067371351.69229","1407827988.71557","1359221501.21369","1428310153.80586","1458497023.84364","1654602968.00108","1646972888.7206","1562656289","2183852906","2278813947","2315284418","1656763191","3056334670","3566458639","3533342452","3809525960","5070100170","5232416758","18145922178","15760752734","12642191001","15502860702","13750592026","12035330167","14451387694","17077592131","16703226177","14831458504","14790156729","17485794686","16782124237","",
"Ghana","GHA","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","0.238826339133402","0.0327118089630357","0.302521008403361","0.226415094339623","0.595655220742817","0.581170089112747","0.793650793650794","0.230237912509593","0.331235508446505","0.442242184314706","0.633857078895032","0.375926708591657","0.152649442179964","0.300413818672182","0.676401834636937","1.03726263507307","0.398370443646858","0.690288497255355","0.556066587871106","0.199333932955733","0.552026571497492","0.444535180154006","0.938695807077138","0.419187386607956","0.518187131873567","0.283886140501499","0.339783745603209","0.177063439729462","1.27818935620551","1.27818935620551","0.950631164437214","0.396067764693575","0.215653971527151","0.298436258339138","0.233250908264128","0.338091686053894","0.585355032181657","0.962859351868751","0.595446560339611","0.476897578518199","0.272672949899093","0.335026456218659","0.34706062820143","0.304284905354552","0.555186767183555","0.378696976924978","0.260759059373463","0.482571254601958","0.70870906993373","0.340115804852037","0.363315593524441","0.17285117114647","0.211330369571421","0.429427921123053","0.94876747477338","1.02632398469212","0.624686967094153","0.701333270866991","0.891000732613761","0.324827116780052","0.309162817585563","0.40158757671269","0.203637487683126","0.192051557626662","",
"Ghana","GHA","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","0.921187308085977","0.130847235852143","1.10924369747899","0.792452830188679","1.68185003503854","2.98333979077877","3.73482726423903","1.07444359171143","1.62305399138788","1.93402864545658","2.096023490457","2.5110505928075","2.82320271521135","3.03757807942338","1.75422770587952","4.11572599691096","2.60089256398658","2.85745731698928","3.25012228015844","3.00305909777726","4.85669988103853","2.71400976804812","4.70789331259128","3.0655397945546","4.39616024459332","7.43491405925201","6.39420378522488","4.24325884029999","4.85400334939231","4.85400334939232","4.30202400127107","2.21605063390458","0.72663026075072","8.2543397853278","9.38839082554555","8.18811633529875","10.387708668459","10.1890622448211","7.46799628243966","12.2190797630837","6.03329232817621","14.8371443016959","10.6219704473311","3.27823244565195","8.44100730627592","7.34214342436524","7.95174125668586","8.77829698687808","14.6081724299367","6.02705425443301","4.72301281472197","8.10582026954398","9.4957670376456","10.6484723644305","17.8686526393327","31.3143441086629","31.3580356386745","43.1537371085077","43.9231268229192","35.5893566548572","28.073198767856","25.9322699906191","25.8379287652125","22.7597670715539","",
"Ghana","GHA","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","13.820327808154","8.30572256577087","10.8945159446502","12.0340589152442","14.9611443742032","13.7801478753474","18.2946275557465","22.1478828168224","12.869046912897","15.0147552149036","17.8109072321099","11.1304190004136","8.56163726238996","8.16708031893636","16.8432204495463","12.4468412522699","15.109384648509","11.1621373951507","16.6528183414383","29.8226369708509","25.6143033869189","10.8417405865733","2.96260842539098","","","","","","","","9.88645844966271","","","","6.10007692802773","11.3563809019957","6.8683726093234","7.69066693696787","11.9158631786585","10.8636065668465","","2.46857072038619","1.49737393398241","3.60406853600616","2.16102136221263","2.87234023304386","3.51368318139587","1.74904889698946","4.01489450472122","1.36513638736008","1.47263285139011","2.06865588093151","1.73605428922296","1.53114850582018","1.90382388267575","1.94503330731125","2.79589844396489","3.04129705781624","","2.90277951595568","1.8752282216153","3.79789972324939","",
"Ghana","GHA","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","0","0.0660030645577205","1.0099229835984","1.02994134664138","0.561036275483858","0.683041385117144","0.546169428271001","0.687928940514893","0.15368132154308","0.80473599451198","0.807805372542691","0.6826191632459","1.93374461966347","2.7905098311213","2.15157892419283","1.60844885794581","0.649724366540547","0.951191526201328","0.391570153393238","12.3061617771306","9.77489243475932","20.8456016115656","3.90245820102382","","","","","","","","5.39579860302098","","","","3.35776840095481","3.06636500725372","3.26768196765273","4.41563742023779","4.89527474500612","7.98184140719209","","0.0481803318787904","2.25891488923827","2.42026667222042","0.449413904187484","0.758742699996961","1.32905143391096","1.75329081764514","0.114294159518324","40.4219396496718","28.9638835969169","24.7444175029272","29.7421554112913","21.7019621780148","12.9823297234949","25.3456087168229","30.6056138754779","31.7022617995334","","26.6641837008799","31.0014653616144","24.5298166225955","",
